Registration DateTime,Telegram ID,Junona ID,Referral ID,Junona Connected,Exchange Registered,Partner Level,Referrals Sum,Partner profit,Partner withdraw,Cum. Profit Share,Started Investing on,Recently Redeemed on,Current Shares Held,invite token
2025-06-10 18:23:25,6148271304,J0001,J0001,Yes,Yes,2,"88,368.41",0.00,1167.00,0.00 USDT,2025-05-26,--,"68,226.52",1Pe68nFBlLTdk
2025-06-11 00:30:12,5249406291,J0002,J0001,Yes,Yes,1,0.00,0.00,,0.00 USDT,2025-05-28,--,"1,606.87",d4bc07e2e1834
2025-06-11 01:37:54,6835692730,J0003,J0001,No,No,1,0.00,0.00,,0.00 USDT,2025-05-28,--,"2,109.72",7f2cc689bcd34
2025-06-11 18:30:37,120201117,J0004,J0001,Yes,No,1,0.00,0.00,,0.00 USDT,2025-05-30,--,"5,000.00",16d2441196424
2025-06-11 22:20:15,268102258,J0005,J0001,No,No,1,0.00,0.00,,0.00 USDT,2025-05-29,--,"2,190.19",15ba37ae82fd4
2025-06-13 03:24:06,5194206150,J0006,J0001,No,No,1,0.00,0.00,0,0,,,0,428ec4e4-b20b-4aff-b04c-681bde603eea
2025-06-13 18:53:53,8059342690,J0007,J0001,No,Yes,1,0.00,0.00,0,0,,,0,d0301f3d04d04
2025-06-13 21:07:49,182691456,J0008,J0001,No,No,1,0.00,0.00,0,0,,,0,9f73d50238fe4
2025-06-13 21:11:08,162562375,J0009,J0001,No,No,1,0.00,0.00,0,0,,,0,a44620a068014
2025-06-13 21:13:22,98054057,J0010,J0001,Yes,Yes,1,959.22,0.00,0,0.00 USDT,2025-05-29,--,206.36,7285853619904
2025-06-13 21:16:17,300745065,J0011,J0001,Yes,Yes,1,0.00,0.00,0,0,,,0,dcb3d4fcfcfa4
2025-06-13 21:22:30,119056737,J0012,J0010,Yes,No,1,0.00,0.00,0,0,,,0,4a9fb8e5242d4
2025-06-13 21:24:55,1141485839,J0013,J0001,No,No,1,0.00,0.00,0,0.00 USDT,2025-06-11,--,"5,618.13",3eb31ae4e7c24
2025-06-13 21:31:21,864054999,J0014,J0011,No,No,1,0.00,0.00,0,0,,,0,291ab86e9a8a4
2025-06-13 21:35:19,917673690,J0015,J0010,Yes,Yes,1,0.00,0.00,0,0,,,0,4806f57f546d4
2025-06-13 21:43:01,700590,J0016,J0001,No,No,1,0.00,0.00,0,0,,,0,dd62013b36244
2025-06-13 21:44:14,271463791,J0017,J0010,No,No,1,0.00,0.00,0,0.00 USDT,2025-06-11,--,283.50,ecff5ecb5fda4
2025-06-13 22:09:16,434661758,J0018,J0010,No,No,1,0.00,0.00,0,0.00 USDT,2025-05-29,--,479.21,627c3b48e7384
2025-06-13 22:12:04,448090776,J0019,J0001,Yes,Yes,2,"20,010.00",0.00,0,0.00 USDT,2025-05-29,--,"2,500.00",8f797a0e0ce84
2025-06-13 22:56:42,980026346,J0020,J0001,Yes,Yes,1,0.00,0.00,0,0.00 USDT,2025-05-28,--,910.62,728e67dba6fd4
2025-06-14 20:00:54,291901502,J0021,J0010,No,No,1,0.00,0.00,0,0.00 USDT,2025-06-12,--,196.51,d2944de93e454
2025-06-14 21:16:54,955185567,J0022,J0004,Yes,Yes,1,0.00,0.00,0,0,,,0,fc6d0f3c670c4
2025-06-15 20:51:10,280009720,J0023,J0001,No,No,1,0.00,0.00,0,0,,,0,a646e3aafce54
2025-06-28 22:30:53,941385815,J0024,J0019,Yes,Yes,1,0.00,0.00,0,0.00 USDT,2025-05-28,--,"20,010.00",8c1ac21bfcfd4
