Date,Balance
2025-01-06,17924.02
2025-01-07,16589.95
2025-01-08,15880.84
2025-01-09,15391.61
2025-01-10,15939.21
2025-01-11,15715.13
2025-01-12,15957.65
2025-01-13,15105.73
2025-01-14,16591.94
2025-01-15,17442.21
2025-01-16,17623.48
2025-01-17,19689.97
2025-01-18,16281.27
2025-01-19,16598.02
2025-01-20,16610.24
2025-01-21,17680.76
2025-01-22,16811.0
2025-01-23,17245.66
2025-01-24,17670.29
2025-01-26,17049.79
2025-01-27,14948.03
2025-01-28,16123.03
2025-01-29,14126.96
2025-01-30,14993.21
2025-01-31,14412.84
2025-02-01,13841.75
2025-02-03,13247.08
2025-02-04,13141.66
2025-02-05,12195.11
2025-02-06,11742.78
2025-02-07,12616.29
2025-02-08,11815.25
2025-02-09,11690.21
2025-02-12,11960.41
2025-02-13,11513.76
2025-02-14,12647.3
2025-02-15,12252.22
2025-02-16,10943.81
2025-02-17,10324.46
2025-02-18,9482.58
2025-02-19,10527.41
2025-02-21,10929.53
2025-02-22,10883.21
2025-02-24,9788.78
2025-02-25,6629.1
2025-02-26,5695.68
2025-02-27,5546.07
2025-02-28,5362.2
2025-03-01,5738.89
2025-03-02,8866.28
2025-03-03,6918.95
2025-03-04,5873.6
2025-03-05,7369.4
2025-03-06,7116.53
2025-03-07,6906.99
2025-03-08,6039.41
2025-03-09,4852.31
2025-03-10,2846.08
2025-03-11,4574.28
2025-03-12,4637.84
2025-03-13,4109.4
2025-03-14,5239.03
2025-03-15,5189.12
2025-03-17,5171.34
2025-03-18,4333.64
2025-03-19,5224.05
2025-03-20,5121.72
2025-03-21,5158.99
2025-03-22,5152.68
2025-03-23,5362.83
2025-03-24,6345.44
2025-03-25,6216.27
2025-03-26,5857.41
2025-03-27,6058.88
2025-03-28,5055.04
2025-03-29,4639.43
2025-03-30,4672.55
2025-03-31,4898.02
2025-04-01,5387.99
2025-04-02,5810.56
2025-04-03,4378.81
2025-04-04,5053.68
2025-04-06,3854.47
2025-04-07,3510.94
2025-04-08,3060.7
2025-04-09,4610.4
2025-04-10,3723.81
2025-04-14,5313.91
2025-04-15,5138.55
2025-04-16,5107.18
2025-04-17,5452.65
2025-04-18,5195.62
2025-04-22,7189.01
2025-04-23,7979.42
2025-04-25,8315.19
2025-04-26,8127.72
2025-04-27,8101.99
2025-04-28,8000.43
2025-04-29,8476.68
2025-04-30,8074.48
2025-05-01,8830.64
2025-05-02,9089.19
2025-05-03,8692.33
2025-05-04,8473.28
2025-05-05,8277.26
2025-05-06,8314.98
2025-05-07,8859.87
2025-05-08,10257.91
2025-05-09,10768.18
2025-05-10,10719.45
2025-05-12,10214.91
2025-05-13,11376.8
2025-05-14,10929.3
2025-05-15,10953.43
2025-05-16,11219.12
2025-05-19,11654.21
2025-05-20,2278.64
2025-05-22,2752.56
2025-05-23,2560.71
2025-05-24,2549.25
2025-05-29,2241.39
2025-05-30,2129.37
2025-05-31,2116.91
2025-06-01,2123.85
2025-06-02,2097.56
2025-06-03,2225.13
2025-06-04,2169.95
2025-06-05,1996.09
2025-06-06,2128.82
2025-06-09,2650.28
2025-06-13,2126.99
2025-06-18,1985.45
2025-06-21,1818.68
2025-06-22,1355.5
2025-06-23,1804.65
2025-06-24,2114.41
2025-06-25,2301.25
2025-06-26,2294.09
2025-06-27,2202.9
2025-06-28,2238.12
2025-06-29,2254.64
2025-06-30,2234.94
2025-07-01,2128.78
2025-07-02,2468.21
2025-07-03,2490.34
2025-07-04,2307.2
2025-07-05,2329.67
2025-07-06,2381.35
2025-07-07,2291.01
2025-07-08,2439.0
2025-07-09,2483.19
2025-07-10,382416.34
2025-07-11,403001.1
2025-07-12,401456.98
2025-07-13,423454.9
2025-07-14,440163.11
2025-07-15,387637.8
2025-07-16,432478.96
2025-07-17,434526.66
2025-07-18,401556.47
2025-07-19,407803.69
2025-07-20,412575.62
2025-07-21,406686.78
2025-07-22,429625.68
2025-07-23,412287.39
2025-07-24,426753.73
2025-07-25,387546.21
2025-07-26,411472.32
2025-07-27,427025.37
2025-07-28,402046.32
2025-07-29,403974.83
2025-07-30,403796.44
2025-07-31,405332.1
2025-08-01,348968.62
2025-08-02,321736.44
2025-08-03,348590.78
2025-08-04,363497.24
2025-08-05,337989.36
2025-08-06,368215.94
2025-08-07,378455.3
2025-08-08,384202.65
2025-08-09,383818.1
2025-08-10,411509.88
2025-08-11,429364.04
2025-08-12,426040.62
2025-08-13,459284.28
2025-08-14,403940.89
2025-08-15,395884.67
2025-08-16,401045.13
2025-08-17,402866.6
2025-08-18,384084.57
2025-08-19,327605.47
2025-08-20,331665.6
2025-08-21,322088.33
2025-08-22,386293.04
2025-08-23,358767.49
2025-08-24,355959.1
2025-08-25,320408.84
2025-08-26,293505.58
2025-08-27,318059.98
2025-08-28,321274.9
2025-08-29,258710.78
2025-08-30,265797.1
2025-08-31,271458.08
2025-09-01,271299.92
2025-09-02,287802.67
2025-09-03,310364.4
2025-09-04,280972.46
2025-09-05,297640.12
2025-09-06,284018.76
2025-09-07,294607.09
2025-09-08,314311.46
2025-09-09,297541.71
2025-09-10,330075.07
2025-09-11,339072.97
2025-09-12,370675.53
2025-09-13,358523.58
2025-09-14,358122.06
2025-09-15,351212.76
2025-09-16,290978.61
2025-09-17,282162.38
2025-09-18,305400.49
2025-09-19,280766.24
2025-09-20,283561.8
2025-09-21,281370.06
2025-09-22,251820.1
2025-09-23,241949.21
2025-09-24,260338.34
2025-09-25,215864.42
2025-09-26,222957.97
2025-09-27,215567.32
2025-09-28,223865.49
2025-09-29,262956.22
2025-09-30,257485.24
2025-10-01,296272.41
2025-10-02,326524.91
2025-10-03,353050.93
2025-10-04,342994.2
2025-10-05,358525.51
2025-10-06,382116.35
2025-10-07,319364.19
2025-10-08,356244.46
2025-10-09,325510.55
2025-10-10,293780.98
2025-10-11,234789.98
2025-10-12,213025.45
2025-10-13,213025.45
2025-10-14,212025.45
2025-10-15,212139.69
2025-10-16,212139.69
2025-10-17,212139.69
2025-10-18,212139.69
2025-10-19,212139.69
2025-10-20,212139.69
2025-10-21,208139.69
2025-10-22,209124.29
2025-10-23,209124.29
2025-10-24,209124.29
2025-10-25,209124.29
2025-10-26,209124.29
2025-10-27,204916.2
2025-10-28,204790.32
2025-10-29,225189.74
2025-10-30,239922.28
2025-10-31,231566.96
2025-11-01,226343.01
2025-11-02,226411.49
2025-11-03,239321.0
2025-11-04,271130.76
2025-11-05,248060.25
2025-11-06,258659.2
2025-11-07,259269.98
2025-11-08,262003.06
2025-11-09,254429.29
2025-11-10,244984.26
2025-11-11,255981.92
2025-11-12,263250.45
2025-11-13,277867.86
2025-11-14,289131.59
2025-11-15,288321.47
2025-11-16,294500.17
2025-11-17,304120.15
2025-11-18,301445.68
2025-11-19,285008.95
2025-11-20,289495.06
2025-11-21,315896.83
2025-11-22,315780.27
2025-11-23,313240.67
2025-11-24,311932.5
2025-11-25,309659.04
2025-11-26,307970.9
2025-11-27,306497.65
2025-11-28,307271.29
2025-11-29,307612.01
2025-11-30,306598.7
2025-12-01,312913.55
2025-12-02,304710.75
2025-12-03,301870.17
2025-12-04,304277.74
2025-12-05,317899.16
2025-12-06,315707.52
2025-12-07,307996.64
2025-12-08,313783.83
2025-12-09,292635.81
2025-12-10,301235.42
2025-12-11,316423.93
